2022-04-13 09:59:01 urllib3.connectionpool DEBUG         http://localhost:58085 "POST /session/d9bad78efb6eda6530770f7e826cde74/element HTTP/1.1" 200 88
2022-04-13 09:59:01 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:59:04 selenium.webdriver.remote.remote_connection DEBUG         GET http://localhost:58085/session/d9bad78efb6eda6530770f7e826cde74/source {}
2022-04-13 09:59:06 urllib3.connectionpool DEBUG         http://localhost:58085 "GET /session/d9bad78efb6eda6530770f7e826cde74/source HTTP/1.1" 200 95475
2022-04-13 09:59:06 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:59:06 selenium.webdriver.remote.remote_connection DEBUG         DELETE http://localhost:58085/session/d9bad78efb6eda6530770f7e826cde74/window {}
2022-04-13 09:59:06 urllib3.connectionpool DEBUG         http://localhost:58085 "DELETE /session/d9bad78efb6eda6530770f7e826cde74/window HTTP/1.1" 200 12
2022-04-13 09:59:06 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:59:06 selenium.webdriver.remote.remote_connection DEBUG         DELETE http://localhost:58085/session/d9bad78efb6eda6530770f7e826cde74 {}
2022-04-13 09:59:06 urllib3.connectionpool DEBUG         http://localhost:58085 "DELETE /session/d9bad78efb6eda6530770f7e826cde74 HTTP/1.1" 200 14
2022-04-13 09:59:06 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 10:00:11 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58155/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": ["--disable-gpu", "--disable-extensions", "--proxy-server='direct://'", "--proxy-bypass-list=*", "--start-maximized", "--user-agent=hogehoge"]}}}, "desiredCapabilities": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": ["--disable-gpu", "--disable-extensions", "--proxy-server='direct://'", "--proxy-bypass-list=*", "--start-maximized", "--user-agent=hogehoge"]}}}
2022-04-13 10:00:11 urllib3.connectionpool DEBUG         Starting new HTTP connection (1): localhost:58155
